Index,Expression,Success_P,Avg_Time_P,Std_Time_P,Success_S,Avg_Time_S,Std_Time_S
29,(((((((((((((((((((((((((((((542.39+1.66)+856.19)+29.36)+377.55)+489.65)+576.17)+738.96)+679.33)+536.27)+35.59)+122.51)+973.36)+188.28)+351.32)+614.13)+607.61)+125.93)+552.86)+954.03)+356.92)+838.10)+974.25)+259.01)+251.53)+424.34)+813.05)+897.91)+244.59)+760.62),0,31.83,0.954045,0,10.06,0.708106
30,((((((((((((((((((((((((((((((694.86+451.85)+263.62)+665.50)+116.57)+209.56)+113.68)+546.97)+6.08)+175.97)+599.36)+431.91)+82.51)+687.41)+375.31)+836.21)+123.64)+973.35)+29.64)+80.35)+494.24)+769.44)+934.03)+250.16)+359.66)+769.11)+499.96)+749.25)+671.90)+681.67)+756.77),0,32.62,0.77564,0,10.5,1.05887
31,(((((((((((((((((((((((((((((((36.37+230.57)+221.67)+562.60)+652.62)+616.61)+371.47)+224.80)+233.69)+653.01)+165.93)+744.10)+159.76)+47.64)+661.99)+124.94)+949.16)+484.18)+621.05)+914.02)+17.94)+593.55)+721.87)+496.58)+53.69)+441.63)+519.17)+771.94)+65.36)+442.79)+977.18)+467.74),0,34.79,7.41319,0,10.87,1.67968
32,((((((((((((((((((((((((((((((((329.06+445.93)+743.27)+205.34)+171.38)+372.52)+939.73)+964.85)+254.96)+70.34)+123.85)+526.34)+160.08)+517.71)+105.18)+841.58)+368.56)+423.89)+327.23)+713.55)+576.78)+871.88)+758.25)+836.60)+699.79)+389.06)+935.24)+605.60)+362.08)+539.50)+455.07)+401.69)+240.44),0,35.45,0.936089,0,11.03,0.892788
33,(((((((((((((((((((((((((((((((((83.09+421.58)+472.38)+289.77)+104.97)+216.39)+802.02)+527.44)+668.82)+863.64)+243.75)+711.56)+263.66)+382.82)+81.01)+459.76)+232.87)+795.35)+491.34)+3.23)+266.12)+664.69)+425.19)+186.82)+963.48)+134.04)+795.86)+946.04)+171.16)+606.00)+63.80)+347.49)+292.47)+509.66),0,36.51,1.19337,0,11.27,0.694204
34,((((((((((((((((((((((((((((((((((825.84+834.34)+726.44)+329.43)+802.08)+631.76)+45.34)+41.42)+153.32)+767.06)+61.73)+519.30)+929.15)+220.52)+204.56)+88.99)+699.69)+706.46)+494.63)+261.78)+711.57)+378.37)+200.64)+232.61)+436.10)+469.50)+861.19)+977.24)+444.52)+34.24)+523.77)+31.64)+753.17)+591.59)+822.89),0,38.52,7.20197,0,12.09,3.8088
35,(((((((((((((((((((((((((((((((((((329.58+232.08)+536.53)+430.62)+403.58)+987.32)+966.91)+850.53)+867.51)+311.61)+148.39)+997.60)+639.52)+468.07)+931.91)+690.77)+815.41)+541.53)+572.81)+159.22)+945.25)+821.33)+155.41)+41.07)+343.61)+110.02)+96.54)+518.77)+22.41)+561.48)+856.88)+516.91)+674.52)+737.17)+698.46)+22.80),0,38.03,0.881402,0,12.03,0.999545
36,((((((((((((((((((((((((((((((((((((191.98+670.99)+345.87)+66.29)+140.71)+921.12)+221.66)+380.11)+586.02)+167.31)+26.34)+691.13)+762.34)+713.70)+77.32)+589.81)+925.50)+929.70)+430.45)+505.97)+831.26)+919.24)+601.64)+723.84)+519.34)+490.82)+161.42)+976.12)+574.36)+273.25)+531.43)+698.56)+667.05)+97.43)+548.74)+610.74)+667.97),0,39.04,1.14521,0,12.32,0.77694
37,(((((((((((((((((((((((((((((((((((((495.13+571.58)+588.89)+441.31)+151.22)+502.27)+731.36)+31.66)+51.62)+522.06)+320.64)+35.06)+245.14)+107.18)+382.97)+551.83)+597.17)+611.11)+935.25)+772.03)+513.15)+486.68)+650.13)+697.00)+407.54)+486.85)+479.78)+710.45)+534.20)+276.65)+605.54)+280.10)+703.37)+530.49)+938.25)+235.40)+413.49)+597.48),0,41.35,7.99163,0,13.44,4.34688
38,((((((((((((((((((((((((((((((((((((((783.00+920.25)+681.49)+821.18)+527.41)+230.27)+143.68)+899.52)+251.42)+651.51)+4.82)+935.94)+275.35)+858.77)+278.93)+952.43)+506.82)+122.95)+416.48)+702.47)+436.49)+107.74)+766.17)+99.87)+441.27)+344.58)+297.06)+757.62)+338.51)+330.76)+55.61)+573.18)+485.29)+202.48)+114.47)+974.35)+864.61)+491.84)+367.39),0,39.88,3.38828,0,13.03,3.67755
