Index,Expression,Success_P,Avg_Time_P,Std_Time_P,Success_S,Avg_Time_S,Std_Time_S
99,(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((212.62+446.58)+690.20)+134.99)+714.46)+860.99)+728.34)+214.83)+641.68)+763.71)+630.51)+977.83)+336.42)+143.90)+447.00)+647.73)+387.12)+267.41)+407.17)+343.66)+866.05)+646.87)+992.90)+625.15)+876.62)+314.28)+26.83)+6.17)+769.98)+32.21)+323.49)+813.53)+923.43)+11.75)+460.24)+179.39)+951.62)+866.44)+331.98)+546.16)+312.45)+270.35)+834.83)+927.73)+435.32)+397.24)+398.26)+497.26)+467.57)+441.87)+498.19)+161.89)+878.42)+673.66)+233.89)+945.58)+376.47)+414.36)+187.56)+289.95)+229.60)+889.08)+693.27)+840.71)+791.75)+5.03)+524.51)+376.59)+277.91)+913.37)+984.43)+329.81)+161.51)+503.05)+728.36)+627.22)+630.82)+119.34)+823.26)+549.10)+733.86)+18.81)+186.66)+133.95)+225.19)+758.88)+494.65)+569.68)+539.69)+647.35)+955.48)+828.49)+509.45)+251.74)+78.01)+177.14)+197.74)+389.47)+883.27)+39.32),0,97.22,1.10627,0,34,1.35587
100,((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((854.57+825.77)+758.20)+17.50)+86.42)+491.64)+71.08)+719.30)+312.60)+897.02)+152.67)+919.15)+216.64)+139.16)+823.49)+470.22)+7.25)+863.71)+323.85)+978.63)+842.97)+770.23)+221.91)+579.15)+766.26)+557.20)+829.72)+100.41)+620.83)+279.37)+290.68)+414.65)+96.80)+998.32)+780.05)+357.33)+598.28)+369.52)+468.17)+475.98)+781.00)+189.42)+626.06)+221.08)+617.09)+377.58)+41.32)+543.32)+602.51)+468.48)+766.06)+249.67)+250.46)+468.38)+112.63)+918.86)+292.07)+748.26)+42.21)+506.36)+411.22)+393.85)+487.04)+611.70)+844.82)+894.01)+593.19)+734.77)+272.49)+782.66)+218.56)+377.46)+965.04)+357.35)+44.17)+340.38)+814.58)+691.30)+596.05)+732.19)+851.94)+501.73)+491.92)+701.25)+921.68)+732.87)+360.21)+110.76)+582.34)+329.09)+973.17)+49.45)+69.08)+54.82)+303.00)+563.23)+219.51)+334.34)+231.31)+580.17)+910.79),0,97.85,9.20296,0,33.85,5.61271
101,(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((682.82+160.18)+124.55)+391.54)+681.49)+744.45)+930.94)+275.69)+537.79)+649.53)+575.56)+426.10)+415.13)+113.97)+546.20)+4.40)+920.82)+168.18)+561.85)+985.08)+235.78)+753.91)+963.47)+100.70)+444.88)+67.37)+321.59)+17.57)+297.67)+937.43)+328.77)+706.97)+34.10)+115.49)+12.70)+417.06)+524.89)+885.20)+522.52)+945.04)+359.04)+416.39)+313.80)+29.05)+277.40)+180.02)+545.10)+418.04)+983.10)+936.03)+799.85)+104.52)+639.64)+411.63)+237.00)+182.85)+237.27)+760.67)+583.38)+936.94)+135.85)+214.98)+181.03)+645.99)+88.95)+58.28)+527.03)+860.45)+590.22)+772.63)+578.25)+659.12)+874.74)+699.16)+713.21)+948.43)+208.47)+679.58)+676.92)+75.47)+452.29)+705.40)+686.74)+993.23)+274.00)+169.04)+78.89)+849.85)+480.66)+379.81)+518.94)+867.91)+938.96)+84.31)+73.22)+653.94)+699.18)+132.98)+977.69)+99.92)+379.40)+647.70),0,105.62,36.8584,0,35.46,9.17883
102,((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((951.43+690.28)+614.49)+749.46)+246.71)+407.93)+66.16)+905.23)+125.00)+895.45)+849.68)+616.16)+760.13)+437.39)+167.72)+933.46)+708.36)+461.42)+94.37)+138.87)+924.91)+916.32)+591.25)+76.94)+47.82)+672.23)+241.32)+913.02)+167.12)+818.04)+747.94)+694.59)+971.87)+139.86)+555.76)+690.76)+521.99)+58.32)+173.67)+907.12)+968.75)+822.48)+405.71)+723.97)+842.06)+538.66)+220.15)+79.57)+300.61)+418.49)+526.72)+526.96)+612.97)+124.48)+62.30)+40.47)+225.32)+875.23)+22.55)+71.67)+497.82)+834.32)+365.94)+304.30)+354.13)+830.74)+188.08)+124.42)+137.16)+221.61)+631.39)+760.44)+672.95)+344.17)+447.82)+593.87)+96.40)+126.46)+340.55)+660.23)+436.45)+424.38)+544.20)+421.16)+405.00)+773.24)+875.71)+56.96)+265.76)+565.08)+345.40)+89.29)+644.76)+463.29)+450.64)+971.68)+92.23)+83.37)+200.27)+867.37)+832.23)+371.72)+498.34),0,111.27,42.3875,0,37.94,15.5504
103,(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((653.68+405.56)+318.56)+97.49)+509.70)+478.05)+667.45)+851.57)+396.83)+492.58)+814.52)+555.48)+911.47)+998.59)+334.24)+590.86)+602.09)+257.23)+321.92)+483.38)+184.30)+604.76)+242.51)+821.30)+626.48)+322.74)+269.12)+158.15)+88.33)+600.08)+606.11)+847.32)+967.88)+166.92)+453.62)+20.50)+567.47)+535.85)+94.30)+942.82)+57.05)+799.77)+760.79)+522.18)+267.04)+219.90)+777.56)+477.69)+529.38)+263.55)+499.13)+908.47)+592.79)+25.86)+712.82)+299.58)+69.78)+711.74)+209.25)+865.53)+989.30)+233.96)+239.71)+807.43)+532.41)+280.12)+16.49)+225.86)+951.59)+368.53)+897.90)+935.56)+991.05)+618.71)+651.39)+949.25)+62.03)+559.90)+236.22)+95.09)+197.98)+426.55)+20.52)+932.67)+352.12)+149.85)+475.28)+41.88)+873.32)+956.67)+707.60)+595.93)+859.81)+751.50)+484.44)+34.36)+467.37)+125.95)+778.89)+765.35)+238.63)+653.91)+292.07)+800.32),0,99.82,18.806,0,35.34,8.60375
104,((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((900.04+37.36)+893.25)+828.75)+784.58)+505.44)+974.05)+894.40)+235.64)+407.09)+910.78)+533.18)+157.67)+950.79)+1.02)+171.91)+244.80)+437.88)+382.30)+390.51)+321.36)+15.84)+185.06)+357.71)+95.22)+359.74)+136.70)+544.59)+978.86)+654.61)+961.50)+903.95)+659.65)+730.06)+154.92)+733.93)+189.14)+952.88)+87.01)+389.97)+173.26)+994.50)+480.45)+932.86)+593.99)+127.06)+578.66)+475.48)+316.71)+887.71)+669.66)+975.55)+54.92)+46.94)+865.49)+242.25)+425.93)+689.29)+817.74)+768.53)+749.95)+419.70)+873.17)+392.47)+192.84)+90.59)+565.18)+24.90)+572.47)+524.48)+947.00)+168.72)+737.23)+678.69)+736.15)+491.77)+224.06)+844.06)+47.50)+337.76)+690.31)+58.60)+861.25)+70.72)+509.67)+943.04)+744.25)+671.75)+73.81)+524.23)+764.54)+585.51)+719.42)+296.29)+727.87)+388.84)+298.89)+466.17)+972.44)+846.01)+879.09)+832.87)+994.50)+527.42)+291.13),0,98.13,8.56073,0,35.57,9.53807
105,(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((981.52+486.51)+714.85)+449.55)+631.45)+754.87)+127.39)+67.62)+450.89)+64.59)+488.53)+709.48)+249.21)+420.15)+385.19)+965.35)+627.27)+539.97)+206.50)+715.51)+641.68)+640.00)+412.69)+124.50)+453.78)+692.17)+359.14)+13.48)+572.54)+629.13)+716.57)+326.32)+451.45)+577.65)+511.55)+557.08)+905.66)+455.96)+341.60)+354.98)+194.73)+831.41)+507.22)+859.73)+513.75)+651.71)+297.05)+490.36)+454.58)+164.61)+612.25)+104.79)+248.03)+675.88)+563.26)+681.38)+36.91)+279.40)+817.71)+169.31)+559.20)+498.20)+325.82)+68.93)+582.74)+119.55)+288.14)+695.59)+810.89)+687.92)+832.47)+307.00)+723.59)+388.60)+240.85)+939.18)+812.44)+624.76)+271.58)+524.12)+937.59)+61.94)+991.03)+302.74)+207.81)+651.18)+438.91)+680.99)+415.95)+809.85)+71.63)+872.05)+598.93)+186.80)+474.35)+416.89)+730.03)+688.75)+817.12)+313.73)+916.42)+339.28)+304.99)+7.74)+96.50)+869.33),0,100.23,13.5787,0,34.85,3.53732
106,((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((885.21+676.24)+610.28)+958.78)+222.28)+927.88)+825.39)+327.75)+440.79)+285.10)+655.90)+730.90)+312.41)+621.18)+169.91)+733.07)+782.83)+953.20)+390.63)+287.48)+675.90)+842.89)+526.56)+815.07)+848.61)+591.10)+581.04)+463.34)+334.54)+586.40)+646.11)+111.97)+866.52)+679.95)+957.10)+995.11)+875.83)+999.96)+363.19)+164.79)+661.75)+14.72)+328.19)+947.89)+120.71)+814.58)+689.35)+843.14)+586.46)+648.05)+842.68)+971.08)+987.14)+884.37)+588.07)+621.68)+618.74)+247.66)+418.72)+364.71)+737.50)+173.73)+938.62)+386.15)+92.73)+575.79)+380.33)+224.90)+924.99)+232.10)+987.26)+954.91)+225.30)+565.72)+97.65)+147.99)+261.05)+488.38)+187.00)+830.86)+291.17)+695.77)+888.13)+767.76)+777.89)+35.07)+408.13)+513.16)+619.41)+399.48)+7.65)+655.12)+686.43)+808.62)+540.10)+400.93)+464.39)+62.36)+91.84)+485.62)+871.79)+246.68)+891.27)+599.07)+619.88)+336.54)+266.27),0,100.96,14.1185,0,35.62,7.14041
107,(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((259.00+965.82)+505.84)+685.16)+416.20)+43.82)+436.56)+284.10)+816.50)+869.03)+766.64)+989.73)+395.48)+892.75)+457.51)+335.63)+940.72)+619.94)+401.92)+110.76)+544.69)+632.33)+511.57)+942.31)+458.67)+861.13)+18.40)+223.94)+803.80)+461.51)+586.31)+187.42)+967.48)+390.97)+9.71)+266.62)+163.01)+653.21)+515.17)+419.78)+168.15)+161.04)+671.87)+176.02)+363.35)+887.71)+762.85)+195.99)+47.49)+194.06)+524.98)+389.28)+586.18)+931.47)+200.05)+156.85)+109.19)+110.44)+177.55)+42.59)+760.53)+230.79)+940.90)+687.21)+902.62)+415.00)+952.49)+571.41)+682.12)+386.03)+45.32)+632.73)+250.02)+57.14)+351.84)+414.17)+880.44)+550.66)+889.05)+230.68)+36.66)+227.97)+571.68)+251.40)+355.96)+611.78)+256.55)+811.77)+436.81)+504.22)+359.54)+859.65)+173.48)+673.95)+130.02)+196.62)+532.41)+184.99)+174.68)+843.16)+59.24)+582.76)+448.99)+108.25)+390.42)+770.90)+459.24)+481.50),0,102.21,6.73044,0,36.61,5.05903
108,((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((556.03+176.12)+12.21)+268.92)+692.13)+605.79)+449.07)+515.43)+884.73)+607.83)+752.96)+30.79)+417.73)+798.11)+888.31)+762.69)+474.82)+279.32)+512.77)+84.66)+950.20)+9.81)+847.72)+690.04)+551.61)+932.12)+122.61)+740.89)+208.50)+279.70)+994.52)+891.58)+744.41)+297.17)+477.14)+374.40)+620.49)+617.44)+330.15)+789.15)+328.07)+802.55)+508.38)+306.08)+349.78)+819.09)+370.14)+966.04)+161.95)+957.50)+709.28)+828.90)+249.82)+724.87)+850.10)+558.11)+120.52)+580.15)+541.49)+809.21)+411.84)+800.78)+703.91)+654.36)+850.14)+341.54)+316.19)+184.11)+336.99)+875.21)+664.31)+60.95)+419.80)+583.18)+478.41)+666.50)+933.87)+477.19)+74.40)+491.80)+713.06)+456.60)+23.64)+256.65)+520.07)+847.52)+255.92)+217.09)+628.40)+489.88)+337.56)+326.09)+619.60)+624.27)+100.96)+783.29)+804.09)+286.66)+921.15)+758.69)+240.06)+712.01)+822.07)+448.64)+232.57)+869.82)+52.84)+38.10)+346.94),0,102.72,0.888535,0,36.1,1.52752
109,(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((71.06+242.32)+610.57)+775.05)+261.73)+887.10)+530.07)+957.98)+734.46)+71.47)+214.01)+946.09)+973.64)+964.65)+811.12)+497.42)+113.92)+708.79)+592.60)+906.95)+62.71)+0.21)+571.10)+508.89)+908.07)+927.35)+895.53)+106.09)+34.98)+860.52)+836.32)+956.18)+546.44)+15.83)+8.74)+942.88)+62.92)+430.92)+423.61)+613.08)+110.70)+511.40)+92.77)+207.70)+741.35)+798.62)+336.64)+858.85)+751.97)+337.23)+762.54)+957.53)+202.06)+105.73)+938.93)+630.42)+539.20)+323.28)+284.78)+297.05)+439.68)+747.40)+620.15)+852.65)+436.93)+487.30)+61.99)+914.22)+237.16)+900.40)+103.44)+596.70)+668.69)+704.79)+334.12)+517.07)+376.67)+736.98)+503.21)+484.65)+473.91)+957.58)+64.16)+256.17)+376.38)+859.76)+915.93)+115.57)+343.35)+603.34)+297.38)+39.28)+140.99)+604.86)+931.74)+674.42)+968.02)+449.91)+684.11)+871.01)+104.21)+402.84)+583.75)+92.60)+289.28)+957.84)+352.00)+995.69)+619.86)+966.18),0,110.96,22.9505,0,39.16,10.7061
110,((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((635.06+503.94)+724.28)+894.63)+98.54)+170.87)+807.69)+772.04)+746.88)+731.19)+47.47)+824.54)+968.32)+483.99)+420.20)+326.35)+42.06)+945.29)+511.58)+130.64)+652.47)+992.00)+516.52)+201.98)+618.70)+496.11)+108.00)+96.83)+482.63)+601.46)+725.88)+785.75)+71.70)+100.53)+690.92)+287.40)+409.61)+291.85)+96.63)+141.02)+175.13)+432.67)+856.22)+509.88)+534.67)+145.22)+776.97)+581.80)+335.45)+981.61)+971.47)+563.23)+247.78)+448.83)+477.73)+224.45)+266.05)+563.40)+85.33)+183.91)+10.16)+792.23)+953.95)+62.87)+722.52)+412.25)+752.95)+852.66)+617.67)+220.98)+11.30)+980.36)+963.74)+543.85)+551.81)+298.47)+339.89)+502.52)+931.10)+918.77)+690.38)+145.31)+146.21)+380.91)+997.78)+739.49)+665.19)+910.80)+797.48)+188.78)+742.52)+615.98)+721.51)+496.53)+134.57)+643.79)+230.14)+900.45)+880.99)+875.95)+57.45)+595.39)+759.15)+112.23)+259.29)+946.61)+601.13)+223.86)+405.31)+974.15)+471.29),0,111.55,21.0067,0,41.9,17.0676
111,(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((995.35+789.82)+573.96)+607.24)+930.37)+688.25)+379.64)+528.94)+908.25)+970.46)+470.61)+612.31)+48.47)+679.91)+298.82)+220.22)+156.57)+478.72)+778.09)+288.67)+692.03)+24.52)+28.20)+993.72)+377.47)+184.11)+363.12)+948.35)+874.88)+35.09)+796.84)+468.94)+513.34)+716.93)+425.27)+482.07)+204.34)+303.65)+475.39)+858.30)+478.57)+395.90)+816.72)+544.06)+97.36)+336.48)+196.58)+937.19)+341.59)+123.11)+124.68)+512.53)+79.76)+564.79)+409.94)+860.87)+572.08)+975.74)+308.15)+148.56)+863.40)+94.48)+980.11)+768.02)+135.63)+538.58)+962.74)+823.91)+482.73)+312.34)+544.05)+887.21)+283.79)+682.47)+263.85)+475.73)+631.04)+882.65)+637.15)+612.67)+191.15)+612.16)+492.44)+490.61)+645.43)+756.33)+638.97)+160.13)+382.79)+503.06)+920.26)+802.24)+317.71)+761.93)+743.16)+209.39)+220.81)+102.81)+855.23)+869.06)+312.63)+328.91)+933.97)+243.25)+365.52)+366.39)+867.23)+580.32)+477.79)+156.57)+416.62)+157.27),0,113.08,28.7348,0,40.93,14.2476
112,((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((316.04+761.89)+49.25)+806.02)+741.73)+264.81)+646.43)+509.68)+242.86)+825.38)+156.04)+501.71)+304.33)+872.01)+817.72)+347.86)+462.30)+878.03)+969.93)+620.69)+917.62)+395.42)+907.79)+163.79)+894.62)+904.31)+797.58)+950.40)+451.72)+62.34)+821.06)+541.23)+438.86)+869.41)+210.39)+49.14)+970.25)+975.07)+969.22)+754.18)+560.94)+738.20)+946.11)+290.32)+378.17)+869.27)+857.71)+474.65)+454.34)+158.91)+809.99)+433.18)+478.86)+215.66)+653.55)+258.87)+818.65)+113.66)+365.01)+752.51)+352.23)+983.79)+593.64)+281.42)+900.09)+770.64)+194.77)+513.81)+550.04)+598.98)+136.06)+692.67)+786.42)+404.54)+26.98)+376.83)+355.23)+417.93)+200.35)+206.34)+974.72)+108.27)+656.16)+136.49)+37.96)+946.73)+667.58)+935.29)+412.16)+120.38)+201.59)+103.07)+262.11)+298.35)+313.05)+503.84)+42.78)+0.85)+295.07)+190.03)+766.73)+390.86)+211.08)+646.77)+214.68)+55.84)+546.97)+876.45)+515.59)+508.41)+809.77)+858.75)+66.41),0,118.84,36.0566,0,41.57,11.6161
113,(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((175.33+799.90)+937.27)+654.91)+84.73)+986.98)+215.22)+151.57)+448.97)+825.85)+112.41)+264.06)+986.53)+641.27)+851.71)+665.23)+536.63)+216.71)+168.36)+700.32)+348.12)+792.85)+419.26)+551.65)+580.89)+947.56)+644.08)+11.19)+19.85)+616.27)+655.04)+235.11)+572.73)+844.75)+779.12)+640.66)+489.81)+185.25)+491.39)+825.59)+730.75)+649.52)+546.45)+237.06)+318.94)+394.13)+184.85)+695.18)+961.89)+470.30)+258.52)+862.20)+991.55)+44.42)+603.35)+527.02)+621.06)+112.35)+317.03)+388.02)+374.86)+351.15)+698.44)+599.25)+629.96)+822.16)+118.03)+768.94)+507.46)+960.58)+420.91)+217.22)+875.87)+801.88)+251.12)+508.53)+788.87)+476.93)+762.26)+327.44)+315.06)+241.51)+62.24)+0.00)+65.61)+681.28)+239.42)+864.06)+187.75)+534.86)+375.02)+922.92)+541.77)+530.55)+897.92)+267.45)+982.50)+818.00)+168.89)+476.72)+245.29)+533.90)+173.40)+338.48)+784.92)+215.65)+391.20)+849.14)+417.04)+243.94)+941.68)+802.66)+322.61)+80.75),0,121.13,32.0125,0,47.17,20.6016
114,((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((219.52+506.17)+143.45)+895.02)+574.44)+587.52)+409.11)+989.10)+866.40)+634.08)+926.98)+719.05)+62.14)+381.96)+680.21)+325.76)+993.84)+499.86)+127.65)+436.81)+525.72)+825.39)+263.08)+544.04)+718.32)+829.86)+475.22)+52.65)+891.52)+710.76)+706.87)+415.43)+75.53)+453.15)+20.83)+6.55)+89.40)+613.86)+107.71)+238.50)+427.58)+263.63)+776.73)+531.62)+872.40)+449.35)+234.95)+854.04)+774.06)+624.72)+592.43)+937.94)+18.94)+320.79)+515.71)+462.47)+770.10)+128.78)+455.40)+900.87)+872.67)+895.91)+560.82)+773.45)+305.16)+863.42)+473.10)+383.69)+686.69)+253.06)+219.23)+551.30)+701.31)+921.14)+634.57)+182.28)+567.21)+89.62)+293.02)+758.84)+789.25)+937.29)+76.40)+52.31)+111.61)+818.07)+331.14)+495.95)+413.66)+371.74)+771.99)+872.44)+145.65)+20.43)+303.95)+417.65)+393.06)+172.28)+450.40)+933.93)+642.72)+207.96)+258.80)+725.31)+284.66)+301.50)+329.08)+769.17)+385.46)+460.75)+880.48)+192.19)+173.08)+954.55)+46.63),0,142.49,36.3033,0,52.17,17.5574
115,(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((691.19+875.14)+545.64)+575.67)+217.47)+967.92)+860.56)+516.25)+564.60)+270.02)+163.34)+228.03)+460.12)+158.04)+160.92)+657.46)+927.81)+620.68)+847.56)+869.15)+728.94)+327.81)+562.31)+781.68)+654.18)+753.46)+390.30)+691.54)+710.46)+725.87)+637.08)+379.88)+621.83)+173.01)+840.96)+60.91)+632.32)+382.47)+226.50)+748.88)+427.20)+22.82)+492.16)+802.86)+588.00)+592.10)+428.10)+100.71)+617.91)+236.33)+999.66)+313.34)+248.52)+906.08)+438.19)+726.99)+598.34)+240.72)+860.13)+193.63)+337.73)+239.99)+505.81)+86.62)+800.77)+615.59)+250.42)+844.08)+474.80)+37.91)+229.69)+438.50)+886.88)+804.37)+51.62)+598.86)+969.42)+34.48)+520.24)+619.31)+810.50)+153.60)+617.77)+867.44)+141.95)+694.41)+26.59)+918.66)+871.68)+262.56)+825.83)+804.61)+14.39)+784.82)+390.23)+649.03)+219.39)+318.92)+146.26)+120.02)+163.42)+594.91)+666.35)+383.17)+865.11)+988.24)+368.66)+9.95)+249.22)+665.72)+777.91)+349.15)+151.11)+710.34)+707.85)+881.48),0,137.31,4.94759,0,50.63,6.72498
116,((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((58.76+602.62)+206.38)+652.69)+700.70)+722.80)+162.82)+532.67)+505.20)+954.50)+270.25)+142.61)+827.18)+452.55)+65.71)+466.18)+141.99)+480.65)+312.79)+29.32)+863.93)+59.23)+465.69)+906.75)+763.84)+901.75)+638.56)+267.73)+788.13)+97.59)+260.48)+875.88)+844.84)+262.04)+26.14)+319.44)+836.30)+629.24)+555.34)+603.49)+899.48)+591.54)+42.91)+142.07)+850.06)+5.73)+314.97)+712.11)+473.83)+630.36)+491.43)+438.81)+111.06)+593.33)+160.24)+148.42)+428.06)+480.95)+272.01)+606.47)+954.36)+8.57)+89.52)+489.96)+820.13)+923.91)+202.60)+94.71)+797.04)+878.84)+606.87)+666.57)+77.20)+438.04)+189.11)+313.62)+80.48)+547.25)+630.49)+566.54)+894.11)+328.61)+923.91)+196.64)+862.92)+25.79)+387.44)+638.24)+819.67)+229.20)+143.13)+565.25)+77.64)+851.89)+751.97)+434.89)+222.60)+156.35)+697.06)+508.08)+330.62)+700.19)+92.00)+263.12)+317.43)+19.47)+236.59)+363.96)+45.52)+0.39)+565.64)+760.46)+127.66)+558.12)+361.44)+707.88)+340.12),0,137.24,3.85893,0,49.62,4.35027
117,(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((436.22+585.71)+21.41)+878.33)+146.94)+631.40)+992.96)+660.64)+378.29)+943.24)+108.49)+373.82)+822.00)+411.29)+556.44)+162.39)+271.10)+404.62)+401.59)+542.40)+118.42)+268.45)+905.16)+978.87)+844.07)+228.27)+597.59)+662.04)+959.35)+718.90)+590.00)+146.21)+360.27)+132.64)+208.26)+204.80)+3.59)+402.10)+132.12)+576.27)+311.35)+936.35)+201.55)+433.59)+388.18)+63.48)+922.12)+61.58)+55.02)+757.33)+528.32)+496.17)+201.72)+239.65)+815.20)+40.10)+881.77)+894.12)+462.73)+86.99)+5.04)+750.23)+57.93)+691.01)+841.82)+524.33)+331.71)+975.29)+640.35)+316.01)+105.03)+214.23)+606.93)+694.81)+643.34)+620.88)+102.09)+806.04)+157.33)+315.97)+555.85)+207.64)+781.47)+215.05)+366.29)+254.77)+981.37)+868.86)+928.54)+915.46)+215.07)+760.81)+943.14)+290.06)+963.36)+192.21)+429.09)+687.13)+652.32)+595.66)+224.25)+919.58)+452.11)+561.22)+432.65)+599.88)+252.70)+193.55)+977.45)+51.65)+11.57)+483.14)+125.54)+976.29)+566.81)+404.24)+4.40)+869.75),0,140.45,7.18356,0,50.7,4.72795
118,((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((884.11+237.12)+292.97)+929.56)+45.22)+997.35)+508.42)+35.83)+196.23)+970.54)+825.74)+248.79)+354.41)+491.61)+413.21)+784.37)+884.82)+225.58)+271.46)+428.91)+693.25)+449.92)+846.92)+120.08)+206.12)+242.89)+207.82)+881.59)+911.39)+701.68)+75.83)+477.31)+230.07)+865.55)+376.19)+672.98)+833.21)+718.05)+348.03)+308.54)+620.05)+224.27)+290.12)+977.15)+939.59)+764.50)+931.97)+656.42)+473.86)+148.61)+660.68)+112.04)+5.50)+374.26)+199.64)+348.81)+491.89)+130.35)+766.19)+347.04)+667.69)+871.86)+385.53)+612.51)+507.53)+93.83)+961.09)+112.27)+956.33)+965.09)+322.34)+521.91)+721.00)+917.20)+358.90)+44.76)+286.32)+192.66)+69.27)+191.30)+123.90)+440.94)+929.08)+66.87)+876.90)+86.47)+376.99)+151.83)+815.77)+650.13)+657.98)+691.66)+794.32)+108.88)+865.77)+22.65)+759.24)+464.92)+987.52)+259.28)+772.63)+647.64)+873.15)+71.52)+91.23)+227.54)+240.57)+306.03)+494.16)+318.86)+62.69)+581.71)+850.96)+25.50)+509.57)+264.86)+490.96)+489.33)+101.97),0,140.11,4.26377,0,51.31,5.7061
119,(((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((843.82+3.09)+949.59)+794.78)+805.87)+334.28)+188.87)+404.48)+59.90)+778.50)+227.99)+855.73)+283.89)+295.52)+859.67)+510.66)+716.48)+874.11)+220.25)+743.30)+603.62)+997.88)+371.76)+186.29)+956.80)+868.99)+123.81)+870.43)+241.13)+746.86)+554.93)+684.94)+837.07)+708.69)+33.04)+240.37)+834.55)+329.77)+510.94)+292.87)+280.35)+876.35)+821.44)+918.02)+192.49)+240.65)+540.83)+737.14)+192.96)+128.60)+399.83)+917.62)+442.77)+711.40)+575.99)+727.92)+146.10)+500.66)+570.33)+583.26)+805.60)+713.08)+728.80)+907.91)+209.76)+371.66)+492.04)+656.42)+428.84)+543.25)+418.87)+956.48)+528.35)+921.02)+599.01)+518.96)+178.96)+776.81)+862.24)+664.07)+955.02)+13.08)+874.21)+777.00)+56.27)+813.86)+554.27)+635.72)+577.00)+648.45)+528.69)+651.19)+569.05)+22.87)+376.85)+702.89)+458.02)+944.36)+903.85)+28.17)+494.28)+425.06)+986.08)+63.60)+939.86)+213.36)+929.95)+723.80)+848.10)+20.88)+915.36)+388.90)+259.48)+19.68)+702.87)+187.25)+131.51)+226.52)+109.56)+346.17),0,141.73,5.14017,0,51.44,5.36038
120,((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((94.09+383.49)+380.99)+322.11)+643.24)+908.58)+475.57)+940.02)+929.57)+303.17)+351.31)+504.24)+685.53)+671.60)+646.36)+369.25)+950.99)+284.65)+34.76)+258.18)+228.58)+671.67)+687.77)+313.49)+817.58)+105.80)+174.44)+843.35)+173.39)+126.35)+584.71)+288.99)+138.02)+725.93)+747.26)+146.66)+992.39)+152.88)+406.36)+640.44)+958.17)+21.43)+100.96)+870.86)+580.40)+754.61)+757.48)+891.31)+174.40)+94.22)+639.38)+96.12)+511.39)+874.56)+802.62)+709.36)+174.29)+253.29)+57.78)+101.02)+910.06)+299.45)+784.90)+780.64)+257.86)+794.12)+725.41)+975.35)+752.18)+968.80)+663.92)+427.92)+118.98)+693.70)+942.65)+179.15)+987.39)+82.92)+612.97)+164.04)+985.82)+625.38)+701.73)+13.62)+861.24)+882.20)+158.96)+677.65)+238.53)+907.30)+3.89)+360.56)+950.10)+372.99)+771.64)+881.75)+545.72)+926.55)+560.47)+735.77)+83.89)+870.80)+452.88)+500.09)+965.52)+542.75)+996.80)+301.13)+62.66)+92.96)+316.09)+473.12)+808.83)+950.88)+489.77)+553.04)+0.40)+783.27)+431.74)+244.85)+242.34),0,142.85,6.67026,0,51.37,3.39832
